Article,Vital_Level,Vital_Category,Level_Quota,SubPage_Quota
Earth,1,Astronomy,4800,900
Human,1,Animals,5600,2400
Human history,1,History,3300,3300
Life,1,"Biology, biochemistry, anatomy, and physiology",5600,1100
Mathematics,1,Mathematics,1200,1200
Philosophy,1,Philosophy and religion,1400,1400
Science,1,Basics and measurement,4800,300
Society,1,Social studies,4000,500
Technology,1,Technology,3200,3200
The arts,1,Arts,3700,3700
Africa,2,Physical geography,5200,1900
Agriculture,2,Politics and economics,4000,1900
Agriculture,2,Technology,3200,3200
Ancient history,2,History,3300,3300
Animal,2,"Biology, biochemistry, anatomy, and physiology",5600,1100
Architecture,2,Arts,3700,3700
Arithmetic,2,Mathematics,1200,1200
Asia,2,Physical geography,5200,1900
Astronomy,2,Astronomy,4800,900
Atmosphere of Earth,2,Earth science,4800,1200
Atom,2,Physics,4800,1200
Biology,2,"Biology, biochemistry, anatomy, and physiology",5600,1100
Business,2,Politics and economics,4000,1900
Cell (biology),2,"Biology, biochemistry, anatomy, and physiology",5600,1100
Chemical element,2,Chemistry,4800,1200
Chemistry,2,Chemistry,4800,1200
Civilization,2,History,3300,3300
Climate,2,Earth science,4800,1200
Clothing,2,Everyday life,2500,1300
Communication,2,Culture,4000,1600
Computer,2,Technology,3200,3200
Country,2,Countries and subdivisions,5200,1300
Culture,2,Culture,4000,1600
Death,2,"Biology, biochemistry, anatomy, and physiology",5600,1100
Deity,2,Philosophy and religion,1400,1400
Disease,2,"Health, medicine, and disease",5600,1100
Early modern period,2,History,3300,3300
Ecology,2,"Biology, biochemistry, anatomy, and physiology",5600,1100
Economics,2,Politics and economics,4000,1900
Education,2,Culture,4000,1600
Electricity,2,Physics,4800,1200
Emotion,2,Social studies,4000,500
Energy,2,Physics,4800,1200
Engineering,2,Technology,3200,3200
Entertainment,2,"Sports, games and recreation",2500,1200
Ethics,2,Philosophy and religion,1400,1400
Ethnicity,2,Culture,4000,1600
Europe,2,Physical geography,5200,1900
Evolution,2,"Biology, biochemistry, anatomy, and physiology",5600,1100
Family,2,Everyday life,2500,1300
Fire,2,Chemistry,4800,1200
Folklore,2,Philosophy and religion,1400,1400
Food,2,Everyday life,2500,1300
Geography,2,Physical geography,5200,1900
Geology,2,Earth science,4800,1200
Geometry,2,Mathematics,1200,1200
Government,2,Politics and economics,4000,1900
History,2,History,3300,3300
History of science,2,History,3300,3300
Home,2,Everyday life,2500,1300
Human settlement,2,Cities,5200,2000
Human sexuality,2,Everyday life,2500,1300
Knowledge,2,Philosophy and religion,1400,1400
Land,2,Earth science,4800,1200
Language,2,Culture,4000,1600
Law,2,Politics and economics,4000,1900
Literature,2,Arts,3700,3700
Logic,2,Philosophy and religion,1400,1400
Manufacturing,2,Politics and economics,4000,1900
Mass media,2,Culture,4000,1600
Medicine,2,"Health, medicine, and disease",5600,1100
Mind,2,Social studies,4000,500
Modern era,2,History,3300,3300
Moon,2,Astronomy,4800,900
Music,2,Arts,3700,3700
North America,2,Physical geography,5200,1900
Number,2,Mathematics,1200,1200
Oceania,2,Countries and subdivisions,5200,1300
Performing arts,2,Arts,3700,3700
Physics,2,Physics,4800,1200
Plant,2,"Plants, fungi, and other organisms",5600,1000
Politics,2,Politics and economics,4000,1900
Post-classical history,2,History,3300,3300
Prehistory,2,History,3300,3300
Psychology,2,Social studies,4000,500
Religion,2,Philosophy and religion,1400,1400
Sea,2,Earth science,4800,1200
Solar System,2,Astronomy,4800,900
South America,2,Physical geography,5200,1900
Sport,2,"Sports, games and recreation",2500,1200
Statistics,2,Mathematics,1200,1200
Sun,2,Astronomy,4800,900
Time,2,Physics,4800,1200
Tool,2,Technology,3200,3200
Trade,2,Politics and economics,4000,1900
Transport,2,Technology,3200,3200
Universe,2,Astronomy,4800,900
Visual arts,2,Arts,3700,3700
War,2,Politics and economics,4000,1900
Water,2,Chemistry,4800,1200
Writing,2,Culture,4000,1600
Abiogenesis,3,"Biology, biochemistry, anatomy, and physiology",5600,1100
Abortion,3,"Health, medicine, and disease",5600,1100
Abraham,3,Philosophy and religion,1400,1400
Abraham Lincoln,3,Politicians and leaders,15100,2400
Abstract art,3,Arts,3700,3700
Achaemenid Empire,3,History,3300,3300
Acid–base reaction,3,Chemistry,4800,1200
Adam Smith,3,"Philosophers, historians, and social scientists",15100,1400
Addiction,3,"Health, medicine, and disease",5600,1100
Adi Shankara,3,Religious figures,15100,500
Adolescence,3,Everyday life,2500,1300
Adolf Hitler,3,Politicians and leaders,15100,2400
Adult,3,Everyday life,2500,1300
Aesthetics,3,Philosophy and religion,1400,1400
Afterlife,3,Philosophy and religion,1400,1400
Age of Discovery,3,History,3300,3300
Age of Enlightenment,3,History,3300,3300
Ageing,3,"Health, medicine, and disease",5600,1100
Akbar,3,Politicians and leaders,15100,2400
Al-Khwarizmi,3,"Scientists, inventors, and mathematicians",15100,1300
Alan Turing,3,"Scientists, inventors, and mathematicians",15100,1300
Albert Einstein,3,"Scientists, inventors, and mathematicians",15100,1300
Alcoholic beverage,3,Everyday life,2500,1300
Alcoholism,3,"Health, medicine, and disease",5600,1100
Alexander the Great,3,Politicians and leaders,15100,2400
Algae,3,"Plants, fungi, and other organisms",5600,1000
Algeria,3,Countries and subdivisions,5200,1300
Ali,3,Religious figures,15100,500
Allergy,3,"Health, medicine, and disease",5600,1100
Alloy,3,Chemistry,4800,1200
Alphabet,3,Culture,4000,1600
Alps,3,Physical geography,5200,1900
Aluminium,3,Chemistry,4800,1200
Amazon River,3,Physical geography,5200,1900
Amazon rainforest,3,Physical geography,5200,1900
American Revolution,3,History,3300,3300
Amphibian,3,Animals,5600,2400
Anarchism,3,Politics and economics,4000,1900
Anatomy,3,"Biology, biochemistry, anatomy, and physiology",5600,1100
Ancient Egypt,3,History,3300,3300
Ancient Greece,3,History,3300,3300
Ancient Rome,3,History,3300,3300
Andean civilizations,3,History,3300,3300
Andes,3,Physical geography,5200,1900
Anesthesia,3,"Health, medicine, and disease",5600,1100
Anger,3,Social studies,4000,500
Animal husbandry,3,Technology,3200,3200
Animation,3,Arts,3700,3700
Antarctica,3,Physical geography,5200,1900
Anthropology,3,Culture,4000,1600
Antibiotic,3,"Health, medicine, and disease",5600,1100
Antoine Lavoisier,3,"Scientists, inventors, and mathematicians",15100,1300
Arabic,3,Culture,4000,1600
Arabic numerals,3,Mathematics,1200,1200
Arabic script,3,Culture,4000,1600
Archaea,3,"Plants, fungi, and other organisms",5600,1000
Archaeology,3,History,3300,3300
Archimedes,3,"Scientists, inventors, and mathematicians",15100,1300
Arctic,3,Physical geography,5200,1900
Arctic Ocean,3,Physical geography,5200,1900
Argentina,3,Countries and subdivisions,5200,1300
Aristotle,3,"Philosophers, historians, and social scientists",15100,1400
Armour,3,Technology,3200,3200
Art,3,Arts,3700,3700
Arthropod,3,Animals,5600,2400
Ashoka,3,Politicians and leaders,15100,2400
Association football,3,"Sports, games and recreation",2500,1200
Asteroid,3,Astronomy,4800,900
Asthma,3,"Health, medicine, and disease",5600,1100
Atheism,3,Philosophy and religion,1400,1400
Atlantic Ocean,3,Physical geography,5200,1900
Augustus,3,Politicians and leaders,15100,2400
Australia,3,Countries and subdivisions,5200,1300
Avicenna,3,"Scientists, inventors, and mathematicians",15100,1300
Aztecs,3,History,3300,3300
Bacteria,3,"Plants, fungi, and other organisms",5600,1000
Bangladesh,3,Countries and subdivisions,5200,1300
Bank,3,Politics and economics,4000,1900
Beijing,3,Cities,5200,2000
Belief,3,Philosophy and religion,1400,1400
Bengali language,3,Culture,4000,1600
Bhagavad Gita,3,Philosophy and religion,1400,1400
Bible,3,Philosophy and religion,1400,1400
Big Bang,3,Astronomy,4800,900
Biochemistry,3,"Biology, biochemistry, anatomy, and physiology",5600,1100
Biochemistry,3,Chemistry,4800,1200
Biodiversity,3,"Biology, biochemistry, anatomy, and physiology",5600,1100
Biotechnology,3,Technology,3200,3200
Bird,3,Animals,5600,2400
Birth control,3,Everyday life,2500,1300
Black Death,3,History,3300,3300
Black hole,3,Astronomy,4800,900
Blood,3,"Biology, biochemistry, anatomy, and physiology",5600,1100
Board game,3,"Sports, games and recreation",2500,1200
Bomb,3,Technology,3200,3200
Bone,3,"Biology, biochemistry, anatomy, and physiology",5600,1100
Botany,3,"Biology, biochemistry, anatomy, and physiology",5600,1100
Brahmic scripts,3,Culture,4000,1600
Brain,3,"Biology, biochemistry, anatomy, and physiology",5600,1100
Brazil,3,Countries and subdivisions,5200,1300
Bread,3,Everyday life,2500,1300
British Empire,3,History,3300,3300
Broadcasting,3,Technology,3200,3200
Bronze,3,Chemistry,4800,1200
Bronze Age,3,History,3300,3300
Buddhism,3,Philosophy and religion,1400,1400
Byzantine Empire,3,History,3300,3300
Cairo,3,Cities,5200,2000
Canada,3,Countries and subdivisions,5200,1300
Cancer,3,"Health, medicine, and disease",5600,1100
Capitalism,3,Politics and economics,4000,1900
Carbohydrate,3,"Biology, biochemistry, anatomy, and physiology",5600,1100
Carbon,3,Chemistry,4800,1200
Carbon dioxide,3,Chemistry,4800,1200
Card game,3,"Sports, games and recreation",2500,1200
Cardiovascular disease,3,"Health, medicine, and disease",5600,1100
Caribbean,3,Countries and subdivisions,5200,1300
Carl Friedrich Gauss,3,"Scientists, inventors, and mathematicians",15100,1300
Carl Linnaeus,3,"Scientists, inventors, and mathematicians",15100,1300
Caspian Sea,3,Physical geography,5200,1900
Cat,3,Animals,5600,2400
Catalysis,3,Chemistry,4800,1200
Catherine the Great,3,Politicians and leaders,15100,2400
Catholic Church,3,Philosophy and religion,1400,1400
Cattle,3,Animals,5600,2400
Cereal,3,Everyday life,2500,1300
Charlemagne,3,Politicians and leaders,15100,2400
Charles Darwin,3,"Scientists, inventors, and mathematicians",15100,1300
Charlie Chaplin,3,"Entertainers, directors, producers, and screenwriters",15100,2200
Cheese,3,Everyday life,2500,1300
Chemical bond,3,Chemistry,4800,1200
Chemical compound,3,Chemistry,4800,1200
Chemical reaction,3,Chemistry,4800,1200
Chicken,3,Animals,5600,2400
Child,3,Everyday life,2500,1300
China,3,Countries and subdivisions,5200,1300
Chinese characters,3,Culture,4000,1600
Chinese folk religion,3,Philosophy and religion,1400,1400
Chinese language,3,Culture,4000,1600
Christianity,3,Philosophy and religion,1400,1400
